wavelength(nm),flux,flux_error
340.78238990736656,7.460431551008403e-17,8.146262759232224e-18
341.8798185132169,7.77570654277061e-17,7.561736837962449e-18
342.9807811911924,8.165124085631549e-17,7.180445307002533e-18
344.08528932213903,8.456915549038321e-17,7.021678287221741e-18
345.19335432355257,8.515627757062227e-17,6.910576813462591e-18
346.3049876496967,8.320313738503562e-17,6.8019192843367666e-18
347.42020079172187,7.95834892961844e-17,6.89495702728569e-18
348.5390052777833,7.594546104058122e-17,7.194920062493138e-18
349.66141267316084,7.410483171249792e-17,7.396776013494432e-18
350.7874345803778,7.579320005302863e-17,7.546205808775552e-18
351.9170826393224,8.107950528366737e-17,8.007226217885497e-18
353.050368527366,8.817534715458385e-17,8.62331655455425e-18
354.1873039594851,9.203508861812036e-17,8.6244797283942e-18
355.32790068838244,9.108529302372901e-17,8.225775718980481e-18
356.4721705046079,8.58332429765239e-17,7.980935356781658e-18
357.6201252366809,7.934073674565659e-17,7.667753349963889e-18
358.7717767512125,7.542741301796031e-17,7.112904241256189e-18
359.92713695302797,7.389870471232112e-17,6.68731456531275e-18
361.08621778528993,7.387829818473115e-17,6.752471966154826e-18
362.24903122962195,7.463579291226449e-17,6.854354509304363e-18
363.41558930623216,7.532958676442809e-17,6.632159186981863e-18
364.58590407403756,7.643520256714553e-17,6.640634306850475e-18
365.7599876307885,7.865141222858348e-17,7.192873938170589e-18
366.937852113195,8.263871905180157e-17,7.602615667282732e-18
368.1195096970501,8.733854203450634e-17,7.448076356486515e-18
369.3049725973571,9.148916193626026e-17,7.534310908978237e-18
370.49425306845563,9.319127617046016e-17,8.289352771299771e-18
371.68736340414813,9.10104072700753e-17,8.74135370039581e-18
372.8843159378271,8.531263301001581e-17,8.446586942358249e-18
374.0851230426025,7.777735298504647e-17,8.428366348553093e-18
375.2897971314296,7.13224278501665e-17,9.384425241800017e-18
376.49835065723755,6.85810705807228e-17,1.0114722812728621e-17
377.7107961130577,7.0300813903399e-17,9.816309679133946e-18
378.92714603215313,7.42540535516612e-17,9.530049770462527e-18
380.1474129881476,7.634743407644575e-17,1.0391625800246829e-17
381.3716095951571,7.31687793450186e-17,1.1162939914850958e-17
382.59974850791804,6.432385472838546e-17,1.0575115762860636e-17
383.8318424219195,5.2935715175341313e-17,9.47241087115119e-18
385.06790407353407,4.3919576284837185e-17,9.445306709412508e-18
386.30794624014953,4.129917537580608e-17,9.872953862952872e-18
387.551981740301,4.614005930514881e-17,9.34316739290359e-18
388.8000234338034,5.591596700561317e-17,8.020239113445213e-18
390.0520842218844,6.663659566521755e-17,7.243526657663257e-18
391.30817704731766,7.459858022793811e-17,7.341857722545743e-18
392.56831489455675,7.808847763220304e-17,7.282022006269856e-18
393.83251078986945,7.780440371776121e-17,6.5768000833660666e-18
395.10077780147185,7.628690366206864e-17,5.77717811165179e-18
396.37312903966495,7.639765853622786e-17,5.589940472895514e-18
397.6495776569681,8.048099545503055e-17,5.79955737339052e-18
398.9301368482564,8.90692434025971e-17,5.7225344629546816e-18
400.2148198508965,1.0132606350046569e-16,5.2560286863593635e-18
401.50363994488373,1.149937736064029e-16,4.859546188937244e-18
402.7966104529793,1.2696426741736028e-16,4.900013435616304e-18
404.0937447408479,1.3548297969954326e-16,5.1214384330007414e-18
405.395056217196,1.3951549031066617e-16,5.074924976172269e-18
406.7005583339104,1.3955359142163721e-16,4.733570132363024e-18
408.01026458619725,1.3732388492419714e-16,4.47142563910539e-18
409.32418851272166,1.3478732765182304e-16,4.569203971289219e-18
410.6423436957475,1.3360805462476275e-16,4.807513662162016e-18
411.96474376127753,1.3453188907346107e-16,4.8222072021594476e-18
413.2914023791959,1.3756582113585747e-16,4.5724001513942226e-18
414.62233326340686,1.412933514300045e-16,4.3328377692340785e-18
415.9575501719782,1.440914541040786e-16,4.3851106952265435e-18
417.29706690728324,1.4473572509016918e-16,4.625382818841701e-18
418.6408973161432,1.4252359972019645e-16,4.7274672764498774e-18
419.9890552899706,1.3778018401381607e-16,4.563751493049474e-18
421.34155476491287,1.3152563777049928e-16,4.310930242418173e-18
422.69840972199603,1.2522889882252956e-16,4.258541803150558e-18
424.0596341872698,1.2039445085155667e-16,4.4433402378031104e-18
425.42524223195204,1.1795773183028254e-16,4.6065567377726395e-18
426.79524797257454,1.17862018531686e-16,4.53118959643792e-18
428.1696655711284,1.19876539755505e-16,4.279283178979791e-18
429.5485092352123,1.231392519493106e-16,4.1052115663854825e-18
430.9317932181764,1.266509012886582e-16,4.1825566532467965e-18
432.3195318192718,1.297226491402143e-16,4.381607212665825e-18
433.7117393837978,1.320264192795151e-16,4.447325669639168e-18
435.10843030325015,1.3387596511737166e-16,4.28883228118277e-18
436.50961901546975,1.3593597206639376e-16,4.043656784313211e-18
437.9153200047921,1.386800556003753e-16,3.9432923734910394e-18
439.32554780219675,1.4239612508529767e-16,4.064340779322191e-18
440.7403169854578,1.4722290964244904e-16,4.239445204668352e-18
442.1596421792944,1.5294477361544218e-16,4.268383785494649e-18
443.58353805552207,1.5907218940855468e-16,4.109360854279721e-18
445.0120193332037,1.6500598473307826e-16,3.895933154388356e-18
446.44510077880375,1.7032079008499213e-16,3.8171656451255604e-18
447.88279720633795,1.7442465663404888e-16,3.912922882996452e-18
449.3251234775285,1.7719575182055095e-16,4.044288027468942e-18
450.77209450195704,1.791232871040338e-16,4.064593992261997e-18
452.2237252372189,1.8000452356489141e-16,3.9293818848723834e-18
453.68003068907757,1.8060883241151392e-16,3.746852281469694e-18
455.14102591162,1.810669937784102e-16,3.654234667162725e-18
456.606726007412,1.8170874542012168e-16,3.70005225814341e-18
458.07714612765477,1.8259045109928683e-16,3.792699758913167e-18
459.5523014723409,1.8353024135701073e-16,3.808163799765745e-18
461.0322072904121,1.845821408026326e-16,3.706943964516179e-18
462.5168788799163,1.8564480543606956e-16,3.5458165619937155e-18
464.00633158816584,1.865416871444489e-16,3.426932259934733e-18
465.5005808118975,1.87129130118301e-16,3.4075595420348462e-18
466.9996419974294,1.8788601606344636e-16,3.457221382095298e-18
468.5035306408219,1.886269830316772e-16,3.482713463093221e-18
470.0122622880378,1.8939305175452985e-16,3.427612888194672e-18
471.5258525351029,1.9028615133426744e-16,3.3062361383592428e-18
473.04431702826713,1.910211300753979e-16,3.1782898932798393e-18
474.56767146416644,1.9177662274128363e-16,3.1110164993072995e-18
476.09593158998496,1.9195438991153977e-16,3.10684916444522e-18
477.6291132036177,1.9147019454702039e-16,3.1225837202548884e-18
479.16723215383416,1.9045587333821527e-16,3.109269880482565e-18
480.71030434044184,1.8849634394880752e-16,3.0400532155940625e-18
482.2583457144507,1.860527737446061e-16,2.9411661623843613e-18
483.81137227823757,1.8331206001693703e-16,2.8534440330184568e-18
485.3694000857137,1.8028115834883633e-16,2.8022547941849978e-18
486.9324452424874,1.7759279558574276e-16,2.7888647359511836e-18
488.5005239060328,1.757347740847139e-16,2.7868894974047535e-18
490.0736522858563,1.747767546988924e-16,2.7650762145715723e-18
491.65184664366404,1.7490154436181935e-16,2.7157438322502845e-18
493.23512329353014,1.7582782605127128e-16,2.6478005581331592e-18
494.82349860206523,1.771049483105792e-16,2.5796954342217923e-18
496.4169889885857,1.7878496035387333e-16,2.5326925207176712e-18
498.0156109252833,1.8030224957701604e-16,2.5046815950037356e-18
499.6193809373957,1.8135334080139324e-16,2.4859196439328207e-18
501.22831560337653,1.811909898101585e-16,2.4588329318853044e-18
502.8424315550689,1.7985221564053368e-16,2.421931239501615e-18
504.4617454778742,1.7759832243682121e-16,2.3819017965239077e-18
506.0862741109268,1.743833462924746e-16,2.3414778141682297e-18
507.71603424726635,1.7061758659609186e-16,2.3046972625718547e-18
509.35104273401146,1.6695808721072252e-16,2.2733183049362546e-18
510.991316472534,1.6335877319692506e-16,2.2376233654169997e-18
512.6368724186335,1.608675762623527e-16,2.2056972546739765e-18
514.2877275827128,1.591727114400207e-16,2.1720472778061306e-18
515.9438990299535,1.5890209461887107e-16,2.147226262643475e-18
517.6054038804928,1.5985772373945331e-16,2.1298549107096632e-18
519.2722593095998,1.6176170517177999e-16,2.114629445004136e-18
520.9444825478539,1.6440120259318405e-16,2.0955029217762004e-18
522.6220908813219,1.6781012487087245e-16,2.0715282878476544e-18
524.3051016517387,1.7122928724154464e-16,2.037125403856866e-18
525.9935322566837,1.7434567825599977e-16,1.99840209045594e-18
527.6874001497624,1.770094773189651e-16,1.965901337368147e-18
529.3867228407869,1.790532127800469e-16,1.9468772381746965e-18
531.0915178959561,1.8012623209545575e-16,1.938885382233897e-18
532.8018029380381,1.8039964291085833e-16,1.9366604150614003e-18
534.5175956465515,1.8014016177770567e-16,1.931388461813982e-18
536.2389137579489,1.7961971418084977e-16,1.91574138717918e-18
537.9657750658001,1.788884272066377e-16,1.8859738560443524e-18
539.6981974209756,1.7802924473690285e-16,1.8460178618134585e-18
541.4361987318316,1.7751985779561884e-16,1.808967724465394e-18
543.1797969643949,1.7754933674707826e-16,1.785027217764868e-18
544.9290101425481,1.778823703622376e-16,1.775329505813472e-18
546.6838563482182,1.782906164335236e-16,1.7741288078315928e-18
548.4443537215601,1.7930377082730147e-16,1.7783027477888296e-18
550.2105204611465,1.8050123495722626e-16,1.7751345630246034e-18
551.982374824155,1.819163896440586e-16,1.760603671709645e-18
553.7599351265577,1.8279166401058785e-16,1.729304435339828e-18
555.5432197433095,1.8382145215165422e-16,1.6954027942056653e-18
557.3322471085387,1.84535351325446e-16,1.6645619143826041e-18
559.1270357157376,1.84984060361742e-16,1.6458883042112904e-18
560.9276041179534,1.8498694650002765e-16,1.6410608576480205e-18
562.7339709279797,1.847158287209589e-16,1.648097710587336e-18
564.5461548185498,1.8437755407053292e-16,1.6603477413689576e-18
566.3641745225283,1.8412467935704542e-16,1.6695187123395798e-18
568.1880488331076,1.8399023559767727e-16,1.6686718085722236e-18
570.017796603998,1.8430551118601547e-16,1.6581147162847673e-18
571.853436749626,1.8510240559741388e-16,1.640265484360336e-18
573.6949882453281,1.856553114711265e-16,1.614493560959309e-18
575.5424701275479,1.8612222121590077e-16,1.5892335170845802e-18
577.3959014940319,1.862171679092705e-16,1.5671107769843888e-18
579.2553015040281,1.8606975987949378e-16,1.5502825190537009e-18
581.1206893784831,1.8544541791450827e-16,1.53386096282248e-18
582.992084400241,1.8440720155607395e-16,1.513489776299483e-18
584.8695059142431,1.831368860492969e-16,1.4863967233258118e-18
586.7529733277274,1.8208410059619932e-16,1.4543680824697498e-18
588.642506110429,1.812526693964529e-16,1.4184898607663357e-18
590.5381237947836,1.8081856027607014e-16,1.3837009447233971e-18
592.4398459761256,1.8082605535385805e-16,1.3552384502649525e-18
594.3476923128935,1.8057239936547875e-16,1.3327105407240871e-18
596.261682526832,1.8038545232947952e-16,1.3218109024636663e-18
598.1818364031966,1.8078184145823533e-16,1.3266469781410363e-18
600.1081737909572,1.812744691832527e-16,1.341004536345877e-18
602.0407146030038,1.817636402874024e-16,1.3593261590806149e-18
603.9794788163528,1.8172034689402019e-16,1.37202883585004e-18
605.9244864723522,1.8142481900416264e-16,1.3763307247119106e-18
607.8757576768903,1.806973497137269e-16,1.3679714365330878e-18
609.8333126006025,1.797691208098927e-16,1.348315679486482e-18
611.79717147908,1.7878802958188146e-16,1.3204181311668032e-18
613.7673546130787,1.7778098533443662e-16,1.287974461437993e-18
615.7438823687311,1.767268339939175e-16,1.2547623640176078e-18
617.7267751777536,1.7594896863329096e-16,1.2262106006892077e-18
619.7160535376595,1.7477395236861046e-16,1.1991565741178314e-18
621.711738011971,1.7407703245017308e-16,1.1794161062564976e-18
623.7138492304313,1.7448715816518903e-16,1.1695799588690035e-18
625.7224078892181,1.7507662648239726e-16,1.1613369206396717e-18
627.7374347511573,1.7591352078175908e-16,1.1535418740499049e-18
629.7589506459377,1.7694705657799859e-16,1.1451521127084065e-18
631.7869764703267,1.7768006012895445e-16,1.1333992960807153e-18
633.8215331883857,1.7843541405783476e-16,1.121903941894044e-18
635.8626418316871,1.7808966594132152e-16,1.0116605437054974e-18
637.910323499532,1.7697762642690142e-16,9.85517935168708e-19
639.9645993591669,1.7582254274955709e-16,1.2779131130721963e-18
642.025490646006,1.7518461804297937e-16,1.830187876529047e-18
644.0930186638462,1.7031401232917076e-16,2.15844031210074e-18
646.1672047850901,1.6552391087981086e-16,2.1543182527080032e-18
648.2480704509665,1.6416719004124195e-16,2.1301672452054947e-18
650.3356371717514,1.6554602380888519e-16,2.1074489095220434e-18
652.4299265269912,1.6692405439306947e-16,2.080093414147432e-18
654.5309601657252,1.6655662238307837e-16,2.0721103730863175e-18
656.6387598067096,1.6459758146913781e-16,2.048709944270472e-18
658.7533472386418,1.6278281397995455e-16,1.9916806268268836e-18
660.8747443203862,1.6244880000338503e-16,1.9744375988794885e-18
663.0029729811985,1.637183913702306e-16,1.9728591360917428e-18
665.1380552209562,1.6506693564645945e-16,1.893743628642894e-18
667.280013110381,1.65632396344312e-16,1.836797172004391e-18
669.4288687912704,1.6545833365066632e-16,1.8708004469552277e-18
671.5846444767254,1.6465036989983888e-16,1.8289908541641725e-18
673.7473624513806,1.6391491477395648e-16,1.7207001142081026e-18
675.9170450716338,1.6404317848612205e-16,1.7465121313370533e-18
678.0937147658778,1.6403740474550151e-16,1.779848052168588e-18
680.2773940347323,1.6358825605109494e-16,1.6626815501459389e-18
682.4681054512757,1.6263804325577213e-16,1.6167970478808067e-18
684.6658716612794,1.6138342798571043e-16,1.7139474144433305e-18
686.8707153834412,1.6064483115919651e-16,1.6602715719648447e-18
689.0826594096204,1.6047273876208157e-16,1.5158758715885554e-18
691.3017266050728,1.6053514615847648e-16,1.589124566737641e-18
693.5279399086896,1.6000289069711237e-16,1.6536220350749543e-18
695.7613223332307,1.582202706806954e-16,1.4936714757971807e-18
698.0018969655652,1.558432049145848e-16,1.4421732844777056e-18
700.2496869669089,1.5386658170403296e-16,1.5878915514735436e-18
702.5047155730647,1.5386704776267857e-16,1.53878848648334e-18
704.7670060946617,1.5502372373559313e-16,1.360073875902983e-18
707.0365819173973,1.5701684663709287e-16,1.4517705914868695e-18
709.3134665022776,1.58138994197441e-16,1.5569845303328138e-18
711.5976833858615,1.571572184440206e-16,1.3962373822821495e-18
713.8892561805026,1.5464619780348707e-16,1.3129007702882383e-18
716.1882085745938,1.5195713249005486e-16,1.4803032409286967e-18
718.4945643328127,1.5027760266723184e-16,1.4751162276011585e-18
720.8083472963658,1.4998996678183814e-16,1.2873165762492212e-18
723.1295813832379,1.5088097688317996e-16,1.332143382142324e-18
725.4582905884356,1.5127737018090621e-16,1.4637520347906928e-18
727.7944989842375,1.5088100782582563e-16,1.3571638611310155e-18
730.1382307204428,1.4926989034838782e-16,1.2294594459146369e-18
732.489510024621,1.4693409606152743e-16,1.3406270436059104e-18
734.8483612023618,1.4538250029822756e-16,1.389253383582209e-18
737.2148086375269,1.453505892774712e-16,1.2525958805689817e-18
739.5888767925018,1.459133765763134e-16,1.2157756501359832e-18
741.9705902084486,1.469489634324611e-16,1.3252844852351888e-18
744.3599735055601,1.4715438454593323e-16,1.3054877641424138e-18
746.7570513833131,1.465378422370021e-16,1.2046679578227848e-18
749.1618486207276,1.4519154523372856e-16,1.2368280234516834e-18
751.5743900766148,1.4395768536271896e-16,1.2929048961765985e-18
753.9947006898445,1.4331541675208634e-16,1.2304369656231628e-18
756.4228054795947,1.4278601388328246e-16,1.1832072260872728e-18
758.8587295456139,1.4252993658759431e-16,1.2377942421610316e-18
761.3024980684796,1.4213568693206954e-16,1.241211981889784e-18
763.7541363098593,1.410736753151019e-16,1.172799727164028e-18
766.2136696127708,1.4015598212909166e-16,1.1796339614610964e-18
768.6811234018448,1.3970868340734488e-16,1.2285706042502866e-18
771.1565231835872,1.3968654747419785e-16,1.196881358146767e-18
773.6398945466433,1.39932490520569e-16,1.1509427340004526e-18
776.1312631620617,1.400388372657936e-16,1.1883427015132353e-18
778.6306547835597,1.3943650868767604e-16,1.2140646025190305e-18
781.1380952477919,1.3833622255380018e-16,1.1664332088533337e-18
783.6536104746126,1.3659633664108293e-16,1.1444784401921565e-18
786.1772264673477,1.3529252216093485e-16,1.1930519148424743e-18
788.7089693130619,1.3446985481623793e-16,1.198710444858815e-18
791.2488651828285,1.3449818347747927e-16,1.1478768636809058e-18
793.796940332,1.348300595054279e-16,1.1405748397571108e-18
796.3532211004798,1.3516336749877204e-16,1.1761661787854948e-18
798.9177339129942,1.347392054847216e-16,1.1611079869606951e-18
801.4905052793655,1.3368088420035389e-16,1.115770431739824e-18
804.0715617947861,1.320654509392515e-16,1.1175624604382105e-18
806.6609301400936,1.308161972592559e-16,1.1423252539711018e-18
809.2586370820461,1.2984526857483518e-16,1.1246999040357106e-18
811.8647094735991,1.2938646038382882e-16,1.099437593447514e-18
814.479174254185,1.2867168990554756e-16,1.1073965937771079e-18
817.1020584499876,1.2838290403015401e-16,1.1194970276780015e-18
819.7333891742247,1.2754420174164842e-16,1.1025552727828198e-18
822.3731936274272,1.2632485322323859e-16,1.0990489974320386e-18
825.0214990977203,1.2540786520471302e-16,1.1200083400821838e-18
827.6783329611059,1.2475759023759156e-16,1.1121911548826555e-18
830.3437226817452,1.2452912629852787e-16,1.0842888131944948e-18
833.0176958122433,1.2465412993817925e-16,1.10095399422105e-18
835.7002799939329,1.2452280861903443e-16,1.1392167324296671e-18
838.391502957161,1.2446611869773073e-16,1.1285907972496686e-18
841.0913925215744,1.2339707071333113e-16,1.0832548783599103e-18
843.7999765964114,1.214503011773357e-16,1.0997989119782462e-18
846.5172831807809,1.2005553950668927e-16,1.1647453847348599e-18
849.243340363964,1.1855661785382627e-16,1.1590095373732964e-18
851.9781763256949,1.1756088204366122e-16,1.0969661413259731e-18
854.7218193364566,1.1705921042556518e-16,1.1081938225639142e-18
857.4742977577719,1.1662178601436395e-16,1.1957911517792265e-18
860.2356400424967,1.163245667702661e-16,1.2217553282794463e-18
863.0058747351146,1.1558866949864353e-16,1.1498954127036914e-18
865.7850304720312,1.1491734420683163e-16,1.1249038470104947e-18
868.5731359818707,1.1478076866340452e-16,1.2220296370517633e-18
871.3702200857726,1.1430570702279904e-16,1.285299951946639e-18
874.1763116976902,1.1431442822096256e-16,1.2259770957944288e-18
876.9914398246871,1.1520897122039384e-16,1.1601914341541447e-18
879.8156335672426,1.1628576217103742e-16,1.2312684832428286e-18
882.6489221195455,1.1643271380820332e-16,1.3363716146140272e-18
885.4913347698009,1.1628600491878208e-16,1.3252758880947107e-18
888.3429009005307,1.150138330111345e-16,1.2246866712135808e-18
891.2036499888779,1.136107219134952e-16,1.2289431336281515e-18
894.0736116069119,1.1221609469476269e-16,1.3540662893175078e-18
896.9528154219331,1.1117740730041157e-16,1.4137183455110737e-18
899.8412911967805,1.1116536466588946e-16,1.3430468823630452e-18
902.7390687901387,1.113755510273547e-16,1.2765267375430142e-18
905.6461781568472,1.1132393733405397e-16,1.3602515900327502e-18
908.5626493482092,1.1127553703042714e-16,1.4872304509973713e-18
911.4885125123033,1.106566002298874e-16,1.4885731700021205e-18
914.4237978942931,1.0923716793180298e-16,1.393562560556598e-18
917.3685358367445,1.0740484152639408e-16,1.3891880639552502e-18
920.3227567799333,1.0587328206913838e-16,1.5197632556942174e-18
923.2864912621637,1.0498724744732667e-16,1.6081728978892333e-18
926.2597699200829,1.0480209809041567e-16,1.5575662358082766e-18
929.2426234889981,1.0530999085294305e-16,1.4863335823434113e-18
932.235082803194,1.0607763445361352e-16,1.5596864317348686e-18
935.2371787962516,1.0692856520626884e-16,1.7134223997772133e-18
938.2489425013678,1.0710027380858946e-16,1.7597792877465897e-18
941.2704050516766,1.0629222733594824e-16,1.6782066662933369e-18
944.3015976805704,1.0509320274147629e-16,1.6518326230090175e-18
947.3425517220234,1.0319047829383528e-16,1.786083667875191e-18
950.3932986109152,1.0158486211550066e-16,1.9403702612797052e-18
953.4538698833546,1.0002358888026972e-16,1.9373552867268613e-18
956.52429717701,9.965206885472488e-17,1.8474778250310837e-18
959.6046122314301,9.960930315677406e-17,1.8743060216913952e-18
962.6948468883762,9.97303164213931e-17,2.074528427433801e-18
965.7950330921504,9.955921952328082e-17,2.231810720803261e-18
968.9052028899255,9.893531002093734e-17,2.201040808948112e-18
972.0253884320765,9.790316870473628e-17,2.1030739707450386e-18
975.1556219725129,9.661238841784862e-17,2.2012978554789563e-18
978.2959358690124,9.563090552473993e-17,2.4906017987410348e-18
981.4463625835548,9.519787533499829e-17,2.6772128177999923e-18
984.6069346826581,9.513088519196769e-17,2.6023067531829584e-18
